用例ID,用例标题,执行档位,自动化状态,套件文件,task名称
12903949,未建图定位失败时，显示随机卫星地图,A,A档-待转化,,
12903950,未建图定位成功时显示当前卫星图,A,A档-待转化,,
12903951,非当前定位地图可正常切换显示,B,B档-未写YAML,,
12903952,非工作状态首页不显示详细的语义地图,B,B档-未写YAML,,
12903954,已建图首页选中作业区域，底图高亮展示当前区域、面积及名称,A,A档-待转化,,
12903957,手动切换不同地图，底图同步刷新,A,A档-待转化,,
12903959,未建图有定位 → 建图成功 → 已建图状态切换，页面地图显示信息提示正确,A,A档-待转化,,
12903960,未建图无定位 → 有定位→ 未建图有定位状态切换，页面地图显示信息提示正确,A,A档-待转化,,
12903961,支持缩放拖动地图操作流畅,A,A档-待转化,,
12903309,已建图时，（工作中）根据比例尺缩放大小切换显示语义及卫星地图,B,B档-未写YAML,,
12903317,工作中任务列表展开全局状态页面显示--当前作业任务列表,A,A档-待转化,,
12903318,地图定位按钮展示,A,A档-待转化,,
12903319,抵达地图切换点自动切换地图后，底图同步刷新,A,A档-待转化,,
12903777,左上角返回功能验证,A,已覆盖,快速任务_自动化测试.yaml,12903777-快速任务左上角返回主界面
12903778,退出重进任务列表记忆,B,B档-未写YAML,,
12903779,快速任务当前选中区域名称实时显示,A,A档-待转化,,
12903781,地图定位与视图交互双向同步,A,已覆盖,快速任务_自动化测试.yaml,12903781-DESIGN-选中区不在视口时地图自动居中
12903637,首次进入动画指引,A,A档-待转化,,
12903640,指引未完成，下次会再弹窗,A,A档-待转化,,
12903378,地图点击工作区域选中添加任务,A,已覆盖,快速任务_自动化测试.yaml,12903378-点击地图添加任务并高亮
12903379,可添加区域列表点击添加任务验证,A,已覆盖,快速任务_自动化测试.yaml,12903379-可添加区域列表点击加号添加
12903380,任务列表编辑与参数保存,A,已覆盖,快速任务_自动化测试.yaml,12903380-任务列表铅笔进入参数编辑
12903381,任务列表长按排序验证,A,已覆盖,快速任务_自动化测试.yaml,12903381-任务列表长按拖拽排序
12903382,任务列表删除与恢复验证,A,已覆盖,快速任务_自动化测试.yaml,12903382-任务列表X删除与地图取消高亮
12903383,可添加区域展示与添加限制验证,A,已覆盖,快速任务_自动化测试.yaml,12903383-同一区域最多添加5次后隐藏
12903385,高频操作稳定性验证--无奔溃anr,A,A档-待转化,,
12903804,保存为任务功能验证,A,已覆盖,快速任务_自动化测试.yaml,12903804-12903805-保存为任务弹窗键盘与居中
12903805,快速任务点击保存，页面自动弹出键盘,A,已覆盖,快速任务_自动化测试.yaml,12903804-12903805-保存为任务弹窗键盘与居中
12903808,开始作业按钮可用性与跳转验证,A,已覆盖,快速任务_自动化测试.yaml,12903808-有任务时开始作业可点击
12903399,快速任务默认执行割草工作模式,A,A档-待转化,,
12903400,支持割草、收集、吸割一体三种模式选择,A,A档-待转化,,
12903401,模式切换即时生效,A,A档-待转化,,
12903402,快速任务切换不同工作模式（割草、集草、吸割一体）对应参数设置同步切换,B,B档-未写YAML,,
12903403,快速任务单工作模式设置成功,A,A档-待转化,,
12903404,快速任务组合任务（先割后吸、先吸后割）可设置成功,A,A档-待转化,,
12903405,快速任务设置保存后，可在首页任务列表中直接复用,A,已覆盖,快速任务_自动化测试.yaml,12903405-DESIGN-保存后可在首页复用该任务
12903406,多条快速任务可分别保存成功，不会覆盖,A,A档-待转化,,
12903690,快速任务设置可执行,A,已覆盖,快速任务_自动化测试.yaml,12903690-快速任务冒烟-添加保存不启动作业
12903692,快速任务必填项校验,A,已覆盖,快速任务_自动化测试.yaml,12903692-任务列表为空时开始作业与保存置灰
12903886,设置按钮跳转设置页,A,已覆盖,主界面_有地图无任务_自动化测试.yaml,12903886-设置按钮跳转设置页
12903887,已设置回充点时点击充电--正常回充,A,A档-待转化,,
12903888,未设置回充点时点击充电--机器原地不动、提示设置回充点,A,A档-待转化,,
12903889,未设置充电点时去设置入口可跳转,A,A档-待转化,,
12903890,回充过程中支持暂停/继续,A,A档-待转化,,
12903891,回充过程中支持取消,A,A档-待转化,,
12903893,已设置返航点时点击返航,A,A档-待转化,,
12903894,返航过程中支持取消,A,A档-待转化,,
12903895,返航过程中支持暂停/继续,A,A档-待转化,,
12903896,未设置返航点时点击返航--机器原地不动、提示设置返航点,A,A档-待转化,,
12903897,未设置返航点时去设置入口跳转,A,A档-待转化,,
12903898,任务执行中点击充电 / 返航二次确认,A,A档-待转化,,
12903899,低电量优先级＞返航,A,A档-待转化,,
12903968,无网络时点击设置按钮--正常跳转,A,A档-待转化,,
12903969,机器离线点击充电/返航，任务正常执行,A,A档-待转化,,
12903970,机器执行作业/回充/返航时，点击设置不影响任务,A,A档-待转化,,
12903971,定位异常时充电 / 返航按钮隐藏,A,A档-待转化,,
12903973,连续点击回充、返航、设置，页面无重复指令、无卡死、无闪退,A,A档-待转化,,
12903965,急停动画需要执行’按钮已复位‘才能关闭,A,A档-待转化,,
12903966,急停按钮复位操作正确执行,A,A档-待转化,,
12903393,任务命名输入框默认为空，不可保存,A,A档-待转化,,
12903394,任务命名输入框正确显示字符计数,A,A档-待转化,,
12903395,任务命名字符数在限制范围内可正常保存,A,A档-待转化,,
12903396,任务命名字符数超出限制时正确提示并阻止保存,A,A档-待转化,,
12903397,任务命名取消操作正确执行,A,A档-待转化,,
12903398,任务命名输入框支持特殊字符输入,A,A档-待转化,,
12903303,加载完成后自动隐藏加载动画,A,A档-待转化,,
12903304,加载超时正确显示错误提示,A,A档-待转化,,
12903305,加载过程中底部按钮不可点击,A,A档-待转化,,
12903388,长按关机按键3秒后正确弹出关机重启界面,A,A档-待转化,,
12903389,点击关机按钮正确执行关机操作,A,A档-待转化,,
12903390,点击重启按钮正确执行重启操作,A,A档-待转化,,
12903391,点击关闭按钮正确关闭界面,A,A档-待转化,,
12903392,长按10秒按键直接关机功能正确,A,A档-待转化,,
12903373,倾倒过程中取消、暂停、定位按钮可用,A,A档-待转化,,
12903375,返航过程中取消、暂停、定位按钮可用,A,A档-待转化,,
12903377,回充过程中取消、暂停、定位按钮可用,A,A档-待转化,,
12904023,单点触摸,A,A档-待转化,,
12904025,多点触摸,A,A档-待转化,,
12904026,边缘触摸,A,A档-待转化,,
12903750,按钮基础点击、长按、拖动操作验证,A,A档-待转化,,
12903751,按钮禁用与状态切换触控验证,A,A档-待转化,,
12903752,按钮加载态防重复点击验证,A,A档-待转化,,
12903753,按钮重复点击与多触点操作验证,A,A档-待转化,,
12903754,浮层遮挡按钮触控穿透验证,B,B档-未写YAML,,
12903755,触控中断与弱网环境操作验证,A,A档-待转化,,
12903756,页面刷新重绘后按钮触控验证,A,A档-待转化,,
12903662,地图区域单选、切换及取消选中验证,A,A档-待转化,,
12903663,禁区选中拦截及地图操作后选中状态验证,A,A档-待转化,,
12903664,任务列表常规滑动及惯性滑动验证,A,A档-待转化,,
12903631,二次确认类弹窗（集草箱已满 / 参数未保存等）全屏居中显示合理性验证,A,A档-待转化,,
12903632,弹窗遮罩层合理性验证,A,A档-待转化,,
12903633,弹窗层级与堆叠合理性验证,A,A档-待转化,,
12903634,弹窗动画合理性验证,A,A档-待转化,,
12903292,弹窗多关闭方式逻辑合理性验证,A,A档-待转化,,
12903293,弹窗误触拦截合理性验证,A,A档-待转化,,
