用例ID,用例标题,等级,用例类型,模块,用例目录,所属模块,执行档位,档位说明,技能分类,匹配说明,人工验收项,前置条件,步骤描述,预期结果
12903579,状态图标-黄色，暂停,P1,,（顶部）状态栏/机器人状态,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/机器人状态,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/机器人状态,A,机载 UI 可 Midscene 执行,convert_high,点击,,可手动暂停任务,作业中手动暂停任务（如屏幕点击暂停）,状态图标 + 文字为黄色，文字显示「暂停」
12903581,机器状态切换，状态图标同步显示,P0,,（顶部）状态栏/机器人状态,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/机器人状态,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/机器人状态,A,机载 UI 可 Midscene 执行,convert_high,点击,,"1.可暂停并恢复任务
2.可解除机器人故障","1.从作业中手动暂停，再恢复作业
2.异常状态解除后（如定位、点击过载等故障修复）","1.状态从黄色（暂停）→ 绿色（作业中），切换流畅
2.状态从红色（异常）→ 灰色（待机）或绿色（作业中）"
12903834,连续状态切换，机器人状态显示不混乱,P2,,（顶部）状态栏/UI交互,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/UI交互,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/UI交互,A,机载 UI 可 Midscene 执行,convert_extra,切换,,正常运行,1、快速连续切换状态（待机→作业→暂停→异常,1、机器人状态不混乱、不叠加、不卡住，图标跟随切换
12903736,地图栏点击弹窗地图切换列表,P2,,主界面展示/（左上）地图栏,整机软件V1.0/界面操作和任务设置/主界面展示/（左上）地图栏/地图栏UI交互,整机软件V1.0/界面操作和任务设置/主界面展示/（左上）地图栏/地图栏UI交互,A,机载 UI 可 Midscene 执行,convert_high,点击,,正常开机,1、1.进入首页，查看地图栏，点击地图栏,"1、1.弹窗地图切换列表页面，可下拉查看
2.有地图：列表展示当前机器所有建图，显示顺序按照地图创建的降序
3.无地图页面列表显示为空"
12903737,地图切换列表以地图组形式展示,P2,,主界面展示/（左上）地图栏,整机软件V1.0/界面操作和任务设置/主界面展示/（左上）地图栏/地图栏UI交互,整机软件V1.0/界面操作和任务设置/主界面展示/（左上）地图栏/地图栏UI交互,A,机载 UI 可 Midscene 执行,convert_high,点击,,"1.当前机器以建图多张A、B、C
2.当前定位存在关联地图A、B",1、1.点击地图栏，查看地图切换列表,"1、1.地图切换列表以地图组形式展示，选中地图默认选中整个地图组
2.选中地图后，所选地图组高亮选中态（页面显示‘地图组（以下地图已关联）A地图4个工作区、B地图3个工作区）
3.组图组选中后，页面有正在使用地图标签"
12903741,地图栏进入地图切换页面可切换地图，地图切换成功后地图栏显示切换后地图名称,P0,,主界面展示/（左上）地图栏,整机软件V1.0/界面操作和任务设置/主界面展示/（左上）地图栏/地图栏UI交互,整机软件V1.0/界面操作和任务设置/主界面展示/（左上）地图栏/地图栏UI交互,A,机载 UI 可 Midscene 执行,convert_high,点击,,当前定位创建多个关联地图,1、1.地图栏点击弹窗地图切换，选中地图切换，查看切换效果及名称显示,"1、1.单地图切换成功，地图栏显示切换后地图名称
2.地图组切换成功，地图栏显示地图组当前定位地图"
12903742,作业任务执行中地图栏不展示,P2,,主界面展示/（左上）地图栏,整机软件V1.0/界面操作和任务设置/主界面展示/（左上）地图栏/地图栏UI交互,整机软件V1.0/界面操作和任务设置/主界面展示/（左上）地图栏/地图栏UI交互,A,机载 UI 可 Midscene 执行,convert_mid,显示,,"1.当前定位正常
2.已建图","1、1.设置割草、集草、割吸一体任务
2.开始任务（自动任务、手动接管）
3.查看任务执行中包括任务暂停状态及返航回充中、前往任务点中，整机页面显示",1、页面不展示地图栏
12903743,地图栏名称切换过程流畅、稳定,P2,,主界面展示/（左上）地图栏,整机软件V1.0/界面操作和任务设置/主界面展示/（左上）地图栏/地图栏UI交互,整机软件V1.0/界面操作和任务设置/主界面展示/（左上）地图栏/地图栏UI交互,A,机载 UI 可 Midscene 执行,convert_mid,显示,,当前定位创建多个关联地图,"1、1.手动切换地图
2.定位在成功 / 失败间频繁切换
3.地图栏是否频繁闪烁、是否做防抖处理，保持显示稳定","1、1.切换过程流畅
2.地图名称切换前后稳定显示"
12904003,定位成功已建图，地图栏展示当前定位地图名称,P0,,主界面展示/（左上）地图栏,整机软件V1.0/界面操作和任务设置/主界面展示/（左上）地图栏/不同定位状态切换地图栏显示,整机软件V1.0/界面操作和任务设置/主界面展示/（左上）地图栏/不同定位状态切换地图栏显示,A,机载 UI 可 Midscene 执行,convert_extra,进入,,机器人定位成功，且当前有已建地图,"1. 确保机器人已完成至少一张地图建图；
2. 启动机器人，使其定位成功；
3. 进入地图页面，查看地图栏。",地图栏显示当前地图名称（如地图A），名称过长时自动滑动显示，无截断
12904004,定位丢失（语义地图定位丢失），地图栏显示有提示,P0,,主界面展示/（左上）地图栏,整机软件V1.0/界面操作和任务设置/主界面展示/（左上）地图栏/不同定位状态切换地图栏显示,整机软件V1.0/界面操作和任务设置/主界面展示/（左上）地图栏/不同定位状态切换地图栏显示,B,物理/射频环境,convert_mid,显示,物理/射频环境,当前定位已建图,"1、1.进入首页切换当前定位地图
2.地图栏显示当前定位地图时，手动模拟丢定位（遮挡传感器）
3.查看地图栏显示","1、1.首次进入，地图栏显示’定位丢失-切换地图‘，点击切换地图弹窗地图切换页面，任务列表为空提示定位丢失
2.非首次进入，定位丢失前地图栏显示当前定位地图名，
定位丢失后，地图栏显示‘定位丢失’（红字红框显示）及丢失前使用的地图名"
12904005,定位失败（rtk卫星定位丢失），地图栏显示有提示,P0,,主界面展示/（左上）地图栏,整机软件V1.0/界面操作和任务设置/主界面展示/（左上）地图栏/不同定位状态切换地图栏显示,整机软件V1.0/界面操作和任务设置/主界面展示/（左上）地图栏/不同定位状态切换地图栏显示,A,机载 UI 可 Midscene 执行,convert_extra,进入、关闭,,机器人定位失败（如 RTK/GPS 信号丢失）（adb指令可关闭？）,"1. 启动机器人，使其定位成功；
2. 模拟定位失败场景（如关闭 RTK/GPS /激光模块）；
3. 进入地图页面，查看地图栏。","1.首次进入，地图栏显示’定位丢失-切换地图‘，点击切换地图弹窗地图切换页面，任务列表为空提示定位丢失
2.非首次进入，地图栏显示’定位丢失-定位丢失前/上次作业地图名称‘，任务列表显示为定位丢失前任务，开始按钮不显示底部提示‘定位丢失，恢复定位后可开始任务’"
12904006,手动切换非当前定位地图，地图栏显示切换地图名称,P1,,主界面展示/（左上）地图栏,整机软件V1.0/界面操作和任务设置/主界面展示/（左上）地图栏/不同定位状态切换地图栏显示,整机软件V1.0/界面操作和任务设置/主界面展示/（左上）地图栏/不同定位状态切换地图栏显示,A,机载 UI 可 Midscene 执行,convert_extra,切换,,在不同区域创建多张地图,1、1.当前定位区域切换其他位置地图查看,"1、1.切换成功地图栏显示切换位置地图名称
2.地图栏定位标签显示‘定位丢失’"
12904007,未建图有卫星地图时，地图栏不显示,P2,,主界面展示/（左上）地图栏,整机软件V1.0/界面操作和任务设置/主界面展示/（左上）地图栏/不同定位状态切换地图栏显示,整机软件V1.0/界面操作和任务设置/主界面展示/（左上）地图栏/不同定位状态切换地图栏显示,A,机载 UI 可 Midscene 执行,convert_extra,进入、操作,,当前无已建地图,"1. 确保机器人未进行任何建图操作；
2. 机器人定位成功/失败，启动机器人；
3. 进入地图页面，查看地图栏。","1.地图栏显示「未建图」提示，地图展示区引导用户进行建图操作
最新ui确认未建图时不显示地图栏"
12904008,机器抵达地图切换点，自动切换地图后，地图名称同步更新,P2,,主界面展示/（左上）地图栏,整机软件V1.0/界面操作和任务设置/主界面展示/（左上）地图栏/不同定位状态切换地图栏显示,整机软件V1.0/界面操作和任务设置/主界面展示/（左上）地图栏/不同定位状态切换地图栏显示,A,机载 UI 可 Midscene 执行,convert_mid,显示,,创建多张关联地图,"1、1.设置好地图任务执行切换地图，
2.查看地图搜索栏地图名称显示",1、地图名称刷新显示最新定位地图
12904009,切换地图后定位失败，地图栏显示切换正常（当前使用地图名-「定位丢失」）,P2,,主界面展示/（左上）地图栏,整机软件V1.0/界面操作和任务设置/主界面展示/（左上）地图栏/不同定位状态切换地图栏显示,整机软件V1.0/界面操作和任务设置/主界面展示/（左上）地图栏/不同定位状态切换地图栏显示,A,机载 UI 可 Midscene 执行,convert_extra,切换,,搜索到目标地图后切换，再定位失败,"1. 搜索并切换到目标地图；
2. 模拟定位失败场景；
3. 观察地图栏变化。","地图栏先正常显示当前选中使用地图名称，
定位失败后切换至「定位丢失」状态"
12903556,作业任务列表页面默认状态与展开收起功能验证（无任务）,P2,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示,A,机载 UI 可 Midscene 执行,convert_high,点击,,"1.未建图/已建图
2.当前无任何已创建的作业任务","1、1. 进入作业任务页面，查看右侧面板默认状态；
2. 点击面板标题 / 收起控件切换为收起状态；
3. 点击「暂无作业任务 >」按钮切换回展开状态","1、1. 面板默认展开，引导文案、引导图、新建按钮完整显示；
2. 收起后仅显示「暂无作业任务 >」按钮，地图全屏显示所有区域；
3. 展开后恢复引导面板，地图适配显示，布局无错乱"
12903557,作业任务列表默认展示与收起展开功能验证（有任务）,P1,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示,A,机载 UI 可 Midscene 执行,convert_high,点击,,"1.当前定位已建图
2.已添加任务保存至首页任务列表","1、1. 进入首页面查看列表默认状态
2. 点击收起 / 展开按钮切换状态","1、1. 列表默认展开，显示当前任务列表所有任务，可下滑查看
2. 收起仅显示 “作业任务>”状态栏，地图展示正常，布局无错乱"
12903558,无地图引导内容显示与创建地图按钮响应,P0,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示,A,机载 UI 可 Midscene 执行,convert_high,点击,,"1. 未创建任何地图区域、无任何作业任务；
2. 进入作业任务页面","1、1. 查看右侧引导面板的文案、示意图；
2. 点击左侧地图任意区域","1、1. 正确显示主标题「请先创建地图」、副标题「即可快速开始作业」，引导示意图完整无变形、无文案错误；
2. 点击地图任意区域，触发「创建地图」引导（跳转创建页），不触发任务创建 / 启动逻辑"
12903562,定位丢失，无任务，任务列表显示为空,P2,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示,A,机载 UI 可 Midscene 执行,convert_extra,切换、保存、添加,,定位异常,"1、1.当前地图未添加任务保存，查看首页作业任务列表
2、1.当前地图有任务，定位异常时切换到其他无任务地图，查看首页作业任务列表","1、任务列表为空，页面提示新建任务
2、任务列表为空，页面提示新建任务"
12903563,定位丢失，有任务，列表显示定位丢失前任务,P2,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示,A,机载 UI 可 Midscene 执行,convert_extra,切换、保存、添加,,定位异常,"1、1.当前地图已添加任务保存，查看首页作业任务列表
2、1.当前地图无任务，定位异常时切换到其他有任务地图，查看首页作业任务列表","1、1.首页任务列表显示当前地图保存的任务集
2.开始任务按钮不显示，底部提示“定位丢失恢复定位后可开始任务”
2、1.首页任务列表显示当前地图保存的任务集
2.开始任务按钮不显示，底部提示“定位丢失恢复定位后可开始任务”"
12903565,手动切换地图后，首页作业任务列表同步刷新,P0,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示,A,机载 UI 可 Midscene 执行,convert_mid,显示,,存在多个不同区域的地图,"1、1.当前地图添加保存多个任务或执行过任务
2.进入地图管理页面切换其他地图|
3.查看任务列表显示",1、任务列表同步刷新，显示当前地图所关联的任务，无任务保存与执行显示为空
12903566,机器抵达地图切换点自动切换地图后，任务列表同步刷新,P1,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示,A,机载 UI 可 Midscene 执行,convert_mid,显示,,存在多张关联地图,"1、1.当前地图添加保存多个任务或执行过任务
2.机器运行抵达地图切换点自动切换地图
3.查看任务列表显示",1、任务列表同步刷新，显示当前地图所关联的任务
12903567,关联地图创建任务集，任务地图有变化，相关任务集自动删除,P0,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示,A,机载 UI 可 Midscene 执行,convert_mid,显示,,"1.存在关联地图a、b、c
2.任务集1包含地图a、b、c区域
3.任务集2包含地图a区域，任务集3包含地图b区域，任务集4包含地图c区域","1、1.首页作业任务列表显示任务集1.2.3.4
2.进入建图工具，删除地图b
3.返回首页查看页面及作业任务列表显示
2、1.首页作业任务列表显示任务集1.2.3.4
2.进入建图工具，删除地图b，再次新建一个地图b同样联通ac区域
3.返回首页查看页面及作业任务列表显示","1、1.首页有地图发生变化任务及任务集有变动的相关提示
2.作业任务列表只显示任务集2.4，与地图b相关的任务集1.3均被自动删除不在作业任务列表中展示
2、1.首页有地图发生变化任务及任务集有变动的相关提示
2.作业任务列表只显示任务集2.4，与已经删除的地图b相关的任务集1.3均被自动删除不在作业任务列表中展示
（同名地图能区分）"
12903569,任务列表排序规则验证,P0,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示,A,机载 UI 可 Midscene 执行,convert_high,选择,,存在默认任务与普通任务,"1、1. 查看现有任务排序
2. 无默认任务时新建任务
3. 有默认任务时新建任务
4.查看列表及默认选择态","1、1. 默认任务固定置顶
2. 无默认时新建任务置顶
3. 有默认时新建任务，新建任务在默认任务后、其他任务前
4.有默认任务及无默认任务，新建任务返回任务列表后默认选中新建任务"
12903571,默认任务个数限制为1个,P2,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示,A,机载 UI 可 Midscene 执行,convert_extra,设置、返回、保存、新建,,已建图，定位正常,"1、1.新建一个任务A设置为默认任务保存，返回任务列表查看
2.再次新建一个任务B设置为默认任务保存，返回任务列表查看","1、1.未建任务B时任务列表最上方显示默认任务A星标显示
2.新建默认任务B后，任务列表B显示在最上方且星标显示，任务A在B底下无星标显示"
12903825,大量任务增删改查，页面加载正常,P2,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示/边界与异常场景,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示/边界与异常场景,A,机载 UI 可 Midscene 执行,convert_extra,修改、删除、操作,,新建多个任务,"1、1.对任务列表进行多次新增任务
2、对任务列表进行多次删除操作
3、对列表内多个任务进行修改
4、短时间内多次查看多个列表任务","1、列表数据加载准确，页面内容显示合理
2、删除列表数据加载准确，页面内容显示合理
3、修改列表数据加载准确，页面内容显示合理
4、列表数据加载准确，页面内容显示合理"
12903827,断网情况下增删改查任务列表--正常执行操作,P2,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示/边界与异常场景,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示/边界与异常场景,A,机载 UI 可 Midscene 执行,convert_high,点击,,任务列表有任务,"1、1.展开列表，修改列表任务
2.断网点击保存查看","1、1. 友好提示网络异常，不闪退
2. 增删改查操作正常执行"
12903828,修改任务过程中退出 / 取消修改---保留原有配置,P2,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示/边界与异常场景,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示/边界与异常场景,A,机载 UI 可 Midscene 执行,convert_high,点击,,"1. 进入任务修改页面
2. 已修改部分内容",1、1. 点击返回 / 取消,"1、1. 不保存本次修改
2. 任务保留原有配置"
12903829,修改作业顺序为重复 / 非法顺序验证---不执行,P2,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示/边界与异常场景,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示/边界与异常场景,A,机载 UI 可 Midscene 执行,convert_extra,设置、保存,,进入任务修改,"1、1. 设置重复 / 非法（拉出任务框上下线）的作业顺序
2. 尝试保存",1、任务保存合理，页面不奔
12903831,任务列表启动任务时机器人异常--任务不执行,P2,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示/边界与异常场景,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示/边界与异常场景,A,机载 UI 可 Midscene 执行,convert_high,点击,,"1. 任务列表存在任务
2. 机器人离线 / 故障",1、1. 点击启动任务,"1、1. 机器人异常 / 不在线相关提示
2. 不执行任务，无崩溃"
12903870,首页作业任务列表新建任务入口跳转,P1,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/任务列表交互,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/任务列表交互,A,机载 UI 可 Midscene 执行,convert_high,点击,,1. 任务列表为空,1. 点击 “新建任务” 入口,1. 正常跳转至任务创建页面
12903871,新建任务保存至首页作业任务列表,P1,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/任务列表交互,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/任务列表交互,A,机载 UI 可 Midscene 执行,convert_high,点击,,1. 进入新建任务页,1.进入新增任务页面选中区域设置工作模式及参数2. 点击 “保存”,1. 任务成功保存至任务列表2. 弹出保存成功提示
12903872,快速任务保存至首页作业任务列表,P2,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/任务列表交互,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/任务列表交互,A,机载 UI 可 Midscene 执行,convert_high,点击,,1. 底图选中工作区域进入快速任务页面,1.选中区域设置工作模式及参数2. 点击 “保存”,1. 任务成功保存至任务列表2. 弹出保存成功提示
12903873,首页作业任务列表，任务名称及内容正确显示,P2,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/任务列表交互,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/任务列表交互,A,机载 UI 可 Midscene 执行,convert_extra,进入,,1. 存在已保存任务,1. 进入首页作业任务列表页,1. 列表中正确显示任务名称、任务模式及刀盘高度（割草任务下）、任务集卡片列表及对应任务集中任务的个数
