用例ID,用例标题,等级,用例类型,模块,用例目录,所属模块,执行档位,档位说明,技能分类,匹配说明,人工验收项,前置条件,步骤描述,预期结果
12903682,充电至100%（电量100%显示常驻提示充电完成）,P2,,（顶部）状态栏/电量状态,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/电量状态,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/电量状态,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,convert_extra,充电,,设备状态正常，充电中,1、将机器充电至100%查看设备页面状态,"1、1.电量100%显示常驻（绿圈内显示充电进度100%，文案提示‘充电已完成’
2.充电完成画面满屏展示"
12903684,退出充电状态，屏幕充电动画自动关闭,P2,,（顶部）状态栏/电量状态,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/电量状态,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/电量状态,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,convert_mid,显示,,1.设备充电中,"1、1.查看充电主机页面展示
2.手动断开充电器，退出充电状态查看主界面显示","1、1.退出充电状态，主界面充电动画自动关闭，进入首页
2.动画页面关闭流程，主界面内容展示清晰"
12903577,状态图标-灰色，空闲,P1,,（顶部）状态栏/机器人状态,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/机器人状态,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/机器人状态,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,convert_extra,执行,,机器人无任务执行,机器人处于空闲待机状态（未执行任务）,状态图标 + 文字为灰色，文字显示「空闲」
12903578,状态图标-绿色，作业中,P1,,（顶部）状态栏/机器人状态,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/机器人状态,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/机器人状态,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,convert_extra,执行,,机器人正在执行任务,机器人执行割草 / 收集任务中,状态图标 + 文字为绿色，文字显示「作业中」
12903580,状态图标-红色，异常,P1,,（顶部）状态栏/机器人状态,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/机器人状态,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/机器人状态,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,reject_other,步骤无点击/输入/选择/验证等关键词,,可触发机器人故障,机器人出现故障（如定位异常、电机过载）,状态图标 + 文字为红色，文字显示「异常」，并弹出故障详情
12903832,状态栏各状态独立显示无冲突,P2,,（顶部）状态栏/UI交互,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/UI交互,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/UI交互,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,reject_other,步骤无点击/输入/选择/验证等关键词,,同时满足作业中、低电量、弱 WiFi 条件,作业中（绿色）+ 电量 18%（红色）+ WiFi 信号弱,各状态独立显示：电量红、状态绿、WiFi 弱，无遮挡 / 冲突
12903833,多异常同时显示，页面内容不冲突,P2,,（顶部）状态栏/UI交互,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/UI交互,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/UI交互,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,reject_other,步骤无点击/输入/选择/验证等关键词,,同时满足异常、4G 丢失、低电量条件,1.同时触发机器异常状态（红色）+ 4G 信号丢失 + 电量低,所有异常信息同时显示，页面不冲突，符合ui设计
12903735,地图栏默认展示定位图标、地图名称,P2,,主界面展示/（左上）地图栏,整机软件V1.0/界面操作和任务设置/主界面展示/（左上）地图栏/地图栏UI交互,整机软件V1.0/界面操作和任务设置/主界面展示/（左上）地图栏/地图栏UI交互,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,convert_extra,创建,,1.机器状态正常,1、1.当前定位地图创建地图或多个关联区域地图，查看地图栏,1、地图栏显示定位图标+当前使用地图区域名称
12903738,地图名称过长，地图栏滑动显示名称（跑马灯）,P2,,主界面展示/（左上）地图栏,整机软件V1.0/界面操作和任务设置/主界面展示/（左上）地图栏/地图栏UI交互,整机软件V1.0/界面操作和任务设置/主界面展示/（左上）地图栏/地图栏UI交互,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,convert_mid,显示,,创建一个地图，名称设置超过地图栏正常可展示字符个数,1、1.查看地图栏名称显示,1、滑动显示地图名称
12903739,地图名称长度适中，地图栏固定名称显示,P2,,主界面展示/（左上）地图栏,整机软件V1.0/界面操作和任务设置/主界面展示/（左上）地图栏/地图栏UI交互,整机软件V1.0/界面操作和任务设置/主界面展示/（左上）地图栏/地图栏UI交互,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,convert_mid,显示,,创建一个地图，名称设置在地图栏正常可展示字符个数以内,1、1.查看地图栏名称显示,1、正常显示地图名称，不滚动
12903740,地图名称同名，地图栏正常展示,P2,,主界面展示/（左上）地图栏,整机软件V1.0/界面操作和任务设置/主界面展示/（左上）地图栏/地图栏UI交互,整机软件V1.0/界面操作和任务设置/主界面展示/（左上）地图栏/地图栏UI交互,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,convert_mid,显示,,创建多张关联地图，设置相同地图名称,"1、1.创建两张地图名均为A的关联地图
2.查看地图栏显示","1、1.地图栏分别成功切换两张相同名A地图，显示正常，地图名均为A
2.地图展示区可区分同名A的地图"
12904010,定位失败后恢复时自动切换回地图名称显示（「定位丢失」-当前使用地图名）,P2,,主界面展示/（左上）地图栏,整机软件V1.0/界面操作和任务设置/主界面展示/（左上）地图栏/不同定位状态切换地图栏显示,整机软件V1.0/界面操作和任务设置/主界面展示/（左上）地图栏/不同定位状态切换地图栏显示,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,convert_mid,显示,,定位失败后重新获取信号,"1. 模拟定位失败，地图栏显示「定位丢失」；
2. 恢复 RTK/GPS 信号，使机器人重新定位成功；
3. 观察状态栏变化。",定位恢复后自动切换回正常地图显示状态
12904011,已建图被删除后，定位成功地图栏切换显示正常（当前使用地图名-不显示地图栏）,P2,,主界面展示/（左上）地图栏,整机软件V1.0/界面操作和任务设置/主界面展示/（左上）地图栏/不同定位状态切换地图栏显示,整机软件V1.0/界面操作和任务设置/主界面展示/（左上）地图栏/不同定位状态切换地图栏显示,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,convert_mid,显示,,已建图成功，定位成功,"1、1.当前定位建图成功，查看地图栏显示
2.删除地图，再次查看地图栏","1、1.地图栏先正常显示当前选中使用地图名称，
2.删除地图后（当前机器无地图了），地图栏不显示；
删除地图后（当前机器还有地图），地图栏显示定位丢失"
12903559,作业任务列表无任务引导内容显示验证（首次使用动画指引） --一期不做,P2,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,reject_observe,步骤仅查看/观察，无技能列表内操作动词,,"1.进入地图首页
2.当前无任何已创建的作业任务",1、1. 查看右侧引导面板的文案、引导图,"1、1. 正确显示「点击地图区域 可快速创建任务、快速启动任务」文案；
2. 引导手势图完整、无变形、无缺失；
3. 文案位置、样式符合设计"
12903560,首次进入丢定位时任务列表显示空状态文案,P1,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,reject_observe,步骤仅查看/观察，无技能列表内操作动词,,"2. 首次进入首页地图页面
3. 无待执行任务
4. 触发定位丢失",1、查看右侧作业任务面板,"1、1.显示""暂无作业任务""文案，
2.面板显示大图标+文案""定位丢失，恢复定位后可新建任务”
3.新建任务按钮置灰不可点击"
12903561,丢定位后恢复定位时作业任务列表定位丢失提示消失,P1,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,reject_observe,步骤仅查看/观察，无技能列表内操作动词,,"1. 当前地图未设置任务
2. 首次进入作业地图页面
3. 触发定位丢失后恢复定位",1、定位恢复后，查看任务列表展示,"1、1. 自动加载当前定位区域的任务列表
2. 新建任务按钮恢复可用状态
3. 定位丢失提示消失"
12903564,定位丢失，作业任务列表任务可选中不可编辑,P2,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,convert_mid,显示,,"1.已建图，当前地图有创建保存任务
2.定位丢失",1、1.查看首页地图任务列表显示,"1、1.作业任务列表任务卡片可选中
2.选中后任务详情展开，编辑任务按钮置灰不可点击，入口隐藏"
12903568,任务列表页面有快速任务创建提示,P2,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,convert_mid,显示,,页面加载正常，有任务列表显示,1、1.查看任务列表相关文案显示,1、任务列表有‘点击地图区域可快速创建任务’提示，提示区域及内容符合ui设计
12903570,默认任务星标显示,P1,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,convert_mid,显示,,已添加任务并设置为默认任务保存,1、查看首页作业任务列表显示,1、设置为默认任务的有橙黄色星标在任务名称右侧显示
12903826,重启设备任务列表信息保存不丢失,P2,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示/边界与异常场景,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示/边界与异常场景,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,convert_mid,显示,,新建任务保存,1、重启主机查看页面显示,1、重启机器后设备任务列表信息保存不丢失
12903830,快速任务保存时列表已存在同名任务验证--可区分,P2,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示/边界与异常场景,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/列表状态展示/边界与异常场景,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,convert_extra,保存,,1. 列表已有同名任务,1、1. 将快速任务保存到常用列表,"1、1. 仍可保存成功
2. 通过工作模式 / 参数/区域区分，不覆盖、不冲突"
12903884,开始作业按钮显隐逻辑验证,P2,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/任务列表交互,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/任务列表交互,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,reject_observe,步骤仅查看/观察，无技能列表内操作动词,,进入首页作业任务列表页面,"1、1. 无任务选中时查看按钮
2. 选中任务查看按钮
3. 取消选中后查看按钮","1、1. 无选中时按钮隐藏
2. 选中任务时按钮正常显示
3. 取消选中后按钮自动隐藏"
12903945,区域选中，底图与列表展示,P0,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/地图与列表交互,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/地图与列表交互,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,convert_mid,显示,,"1.地图已创建
2.定位正常","1、1.新建单个任务
2.新建任务集1，任务工作区域在同一张地图中
3.新建任务集2，任务工作区域在两张或多张关联地图中
4.选中单任务及任务集1或任务集2，查看任务列表及底图显示","1、1.单任务选中，工作区域高亮显示到屏幕中心
2.同一地图任务集选中，底图自动缩放比例尺将任务集区域均显示到屏幕展示范围内
3.关联地图任务集选中，底图自动缩放比例尺将任务集区域均显示到屏幕展示范围内（符合ui设计）"
12903793,任务列表-可添加区域，展示当前地图所有工作区,P0,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/编辑任务界面/编辑任务-区域添加,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/编辑任务界面/编辑任务-区域添加,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,convert_mid,显示,,1.已建图，包含a、b、c、d多个关联地图,查看编辑任务组合页面，任务列表-可添加区域列表显示,依次显示a、b、c、d地图的可添加区域，显示其区域名称、面积
12903801,已添加次数展示验证,P2,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/编辑任务界面/编辑任务-区域添加,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/编辑任务界面/编辑任务-区域添加,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,convert_extra,添加,,已添加1次「A区-草坪」至任务列表,1. 查看可添加区域中「A区-草坪」条目,条目右侧显示「已添加1次」标签
12903802,已添加任务展示验证,P2,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/编辑任务界面/编辑任务-区域添加,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/编辑任务界面/编辑任务-区域添加,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,reject_observe,步骤仅查看/观察，无技能列表内操作动词,,已添加「A区-草坪」任务至任务列表,1. 查看任务列表条目,条目显示：序号「1」、区域名称「A区-草坪」、任务类型「割草」、割盘高度「3''」
12903842,保存成功后，页面toast提示‘任务已保存“,P2,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/编辑任务界面/编辑任务-页面交互,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/编辑任务界面/编辑任务-页面交互,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,convert_mid,显示,,有地图，进入编辑任务页面,"1、1.添加任务保存
2.查看保存成功页面显示",1、页面toast弹窗‘任务已保存“
12903549,未添加任务时保存按钮隐藏,P0,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/新建任务/新建任务（未添加任务状态）,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/新建任务/新建任务（未添加任务状态）,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,convert_extra,操作,,进入新建任务页，未添加任何任务,1. 查看页面操作区域,1. 【保存任务】按钮完全隐藏，符合需求设计
12903550,未添加任务页面有提示文案,P1,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/新建任务/新建任务（未添加任务状态）,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/新建任务/新建任务（未添加任务状态）,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,reject_observe,步骤仅查看/观察，无技能列表内操作动词,,进入新建任务页，未添加任务,1. 查看页面提示信息,"1. 新建任务页面顶部蓝色提示条显示「可点击地图区域添加，同一区域最多可添加 5 次」
2.新建任务，任务列表栏提示「任务列表 (0)」「可点击地图区域添加任务」，文案位置、内容、样式符合设计"
12903554,新建任务页存在可添加区域列表,P2,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/新建任务/新建任务（未添加任务状态）,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/新建任务/新建任务（未添加任务状态）,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,convert_extra,添加,,"1.进入新建任务页
2.已划分区域（B/C/D/E/F 区）",1. 查看「可添加区域」列表,"1. 所有已划分区域（B/C/D/E/F 区）完整显示；
2. 区域名称、面积、颜色标识、+ 号按钮显示准确无错误"
12903555,网络异常时新建任务功能正常使用,P2,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/新建任务/新建任务（未添加任务状态）,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/新建任务/新建任务（未添加任务状态）,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,convert_extra,保存、添加,,APP 处于弱网 / 断网状态，进入新建任务页,1. 尝试添加任务；2. 尝试保存任务,1.任务可正常添加，保存
12903351,任务添加后地图区域高亮验证,P2,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/新建任务/任务添加与区域选择交互,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/新建任务/任务添加与区域选择交互,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,reject_observe,步骤仅查看/观察，无技能列表内操作动词,,"1.新建任务页面
2.已通过任意方式添加任务",1. 查看地图中对应作业区域,"1. 区域高亮覆盖层显示正常，带对勾标记；
2. 样式、颜色符合设计，无错位、漏显"
12903355,区域添加 5 次后可添加列表隐藏验证,P1,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/新建任务/任务添加与区域选择交互,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/新建任务/任务添加与区域选择交互,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,convert_extra,添加,,"1.新建任务页
2.某区域已完成 5 次添加",1. 查看「可添加区域」列表,1. 该区域从列表中完全隐藏，不再显示 + 号；2. 其他区域正常显示，无布局错位
12903356,可添加区域「已添加次数」展示验证,P2,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/新建任务/任务添加与区域选择交互,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/新建任务/任务添加与区域选择交互,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,convert_extra,添加,,"1.新建任务页
2.已添加某区域 1 次及以上",1. 查看「可添加区域」列表对应区域,1. 正确显示「已添加 X 次」，次数与任务列表实际添加数完全一致
12903357,任务列表计数展示验证,P2,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/新建任务/任务添加与区域选择交互,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/新建任务/任务添加与区域选择交互,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,reject_observe,步骤仅查看/观察，无技能列表内操作动词,,"1.新建任务页
2.已添加 N 个任务（N≥1）",1. 查看任务列表标题,1. 显示「任务列表 (N)」，N 与实际添加任务数完全一致
12903358,多区域 / 多次数混合任务添加--依次添加、按添加顺序展示,P2,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/新建任务/任务添加与区域选择交互,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/新建任务/任务添加与区域选择交互,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,convert_extra,添加,,新建任务页,1. 依次添加不同区域、不同次数的任务（如 B 区 2 次、C 区 3 次）,1. 任务列表正确展示所有任务，顺序、区域、次数无误；2. 保存后信息完整，列表页展示正确
12903722,任务列表参数展示验证,P2,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/新建任务/任务列表操作,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/新建任务/任务列表操作,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,reject_observe,步骤仅查看/观察，无技能列表内操作动词,,"1.新建任务页面
2.任务列表已添加不同参数的任务（如割草 3""、收集 + 割草 3""）",1. 查看任务列表中各任务项,"1. 正确显示区域名称、作业类型、割草高度（如：1割草 3""、2 收集 + 割草 3""）；
2. 图标与参数对应关系正确，无错位、漏显"
12903611,添加任务后保存按钮展示--保存按钮正常显示,P1,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/新建任务/任务列表操作/任务保存与命名,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/新建任务/任务列表操作/任务保存与命名,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,convert_extra,操作,,新建任务页，已添加至少 1 个任务,1. 查看页面操作区域,1. 【保存任务】按钮正常显示、可点击，样式符合设计
12903614,保存后任务数据同步任务列表,P1,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/新建任务/任务列表操作/任务保存与命名,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/新建任务/任务列表操作/任务保存与命名,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,reject_observe,步骤仅查看/观察，无技能列表内操作动词,,"1.新建任务页
2.完成任务保存操作",1. 首页查看作业任务列表页；2. 查看对应分类下的任务,"1. 任务成功保存，任务数同步更新；
2. 任务信息（区域、参数、顺序）完整准确；
3. 地图区域状态与任务一致"
12903615,任务保存后自动返回首页,P0,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/新建任务/任务列表操作/任务保存与命名,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/新建任务/任务列表操作/任务保存与命名,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,reject_observe,步骤仅查看/观察，无技能列表内操作动词,,"1.新建任务页
2.新建任务，点击「保存」按钮",1. 观察页面跳转,"1. 保存成功后自动跳转回作业任务列表页（首页）；
2. 页面加载正常，无卡顿、崩溃、白屏"
12903948,已建图开机定位失败，底图默认显示最近一张地图,P0,,主界面展示/地图展示区,整机软件V1.0/界面操作和任务设置/主界面展示/地图展示区/作业前地图展示,整机软件V1.0/界面操作和任务设置/主界面展示/地图展示区/作业前地图展示,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,convert_mid,显示,,"1.机器状态正常
2.已创建过地图/执行过任务
3.遮挡传感器模拟定位失败",1、1.定位失败，查看底图显示,"1、1.底图展示最近一张使用的地图，显示稳定无跳变
2.作业任务列表显示当前定位任务集，开始任务按钮不显示
提示‘定位丢失，恢复定位后可开始任务’"
